Time,P1,P2,P3,P4,S1,S2,S3
844376,1,0,0,0,0,0,0
844656,1,0,0,0,0,0,0
844936,1,1,1,0,0,0,0
845201,1,1,1,1,0,0,0
845481,1,1,1,1,0,0,0
845761,1,1,1,1,0,0,0
846041,0,0,1,1,0,0,0
846321,0,0,1,1,0,0,0
846601,0,0,0,0,0,0,0
846881,0,0,0,0,0,0,0
847161,0,0,0,0,0,0,0
847441,0,0,0,0,0,0,0
847721,0,0,0,0,0,0,0
848001,0,0,0,0,0,0,0
848281,0,0,0,0,0,0,0
848561,0,1,0,0,0,0,0
848841,1,1,1,1,0,0,0
849121,1,1,1,1,0,0,0
849401,1,1,1,1,0,0,0
849681,1,1,1,1,0,0,0
849961,0,1,1,1,0,0,0
850226,0,0,0,1,0,0,0
850506,0,0,0,1,0,0,0
850771,0,0,0,1,0,0,0
851035,0,0,0,1,0,0,0
851314,0,0,0,0,0,0,0
851579,0,0,0,0,0,0,0
851858,0,0,0,0,0,0,0
852138,0,0,0,0,0,0,0
852418,1,0,1,0,0,0,0
852683,1,0,1,0,0,0,0
852963,1,1,1,0,0,0,0
853243,1,1,0,0,0,0,0
853523,0,0,0,0,0,0,0
853803,0,0,0,1,0,0,0
854068,0,0,0,1,0,0,0
854333,0,0,0,0,0,0,0
854612,0,0,0,0,0,0,0
854877,0,0,0,0,0,0,0
855143,0,0,0,0,0,0,0
855422,0,0,0,0,0,0,0
855687,0,1,0,0,0,0,0
855952,1,1,0,0,0,0,0
856232,1,1,0,0,0,0,0
856512,1,1,0,0,0,0,0
856792,0,1,0,1,0,0,0
857072,0,1,0,1,0,0,0
857352,0,1,0,1,0,0,0
857617,0,0,0,1,0,0,0
857882,0,0,0,1,0,0,0
858162,0,0,0,0,0,0,0
858427,0,0,0,0,0,0,0
858691,0,0,0,0,0,0,0
858955,0,0,0,0,0,0,0
859219,0,0,0,0,0,0,0
859483,0,0,0,0,0,0,0
859747,0,0,0,0,0,0,0
860011,0,0,0,0,0,0,0
860275,0,0,0,0,0,0,0
860539,1,1,0,0,0,0,0
860803,1,1,1,0,0,0,0
861067,1,0,1,1,0,0,0
861331,1,0,0,1,0,0,0
861595,1,0,0,1,0,0,0
861875,1,0,0,1,0,0,0
862186,0,0,0,0,0,0,0
862484,0,0,0,0,0,35,0
862764,0,0,0,0,0,0,0
863044,0,0,0,0,0,0,0
863324,0,0,0,0,0,0,0
863589,0,1,0,0,0,0,0
863854,0,1,1,0,0,0,0
864133,0,0,1,0,0,0,0
864413,0,0,0,0,0,0,0
864678,0,0,0,0,0,0,0
864942,0,0,0,0,0,0,0
865207,0,0,0,0,0,0,0
865472,0,0,0,0,0,0,0
865752,1,0,0,0,0,0,0
866017,1,0,0,1,0,0,0
866297,1,0,0,1,0,0,0
866592,1,0,0,0,0,0,0
866890,1,0,1,0,0,30,0
867155,0,0,1,0,0,0,0
867435,0,0,0,0,0,0,0
867715,0,1,0,0,0,0,0
867981,0,1,0,0,0,0,0
868245,0,1,0,0,0,0,0
868509,0,0,0,0,0,0,0
868774,0,0,0,0,0,0,0
869038,0,0,0,0,0,0,0
869303,0,0,0,0,0,0,0
869583,0,0,0,0,0,0,0
869863,0,0,0,0,0,0,0
870143,0,0,0,0,0,0,0
870423,1,0,1,1,0,0,0
870703,1,0,1,1,0,0,0
870968,1,0,1,1,0,0,0
871248,0,0,0,0,0,0,0
871528,0,0,0,0,0,0,0
871840,0,0,0,0,0,0,0
872125,0,0,0,0,192,0,0
872405,0,0,0,0,0,0,0
872685,0,0,0,0,0,0,0
872965,0,0,0,0,0,0,0
873245,0,1,0,0,0,0,0
873525,0,1,0,0,0,0,0
873790,0,1,1,1,0,0,0
874056,1,0,1,1,0,0,0
874321,1,0,1,1,0,0,0
874586,1,0,0,0,0,0,0
874866,0,0,0,0,0,0,0
875131,0,0,0,0,0,0,0
875410,0,0,0,0,0,0,0
875675,0,0,0,0,0,0,0
875940,0,0,0,0,0,0,0
876204,0,1,0,0,0,0,0
876468,0,1,0,0,0,0,0
876748,0,1,0,0,0,0,0
