Time,P1,P2,P3,P4,S1,S2,S3
22358,0,1,0,1,0,0,43
22624,0,1,0,1,0,0,42
22890,0,1,0,1,0,0,42
23156,0,1,0,0,0,0,43
23422,0,1,0,0,0,0,42
23688,0,1,0,0,0,0,43
23954,0,1,0,0,0,0,42
24220,0,0,0,0,0,0,49
24487,0,0,0,0,0,0,43
24753,0,0,0,0,0,0,42
25019,0,0,0,0,0,0,45
25285,0,0,0,0,0,0,43
25551,0,0,0,0,0,0,43
25817,0,0,0,0,0,0,42
26083,0,0,0,0,0,0,43
26349,0,0,0,0,0,0,43
26615,0,0,0,0,0,0,43
26881,0,0,0,1,0,0,43
27147,1,0,1,1,0,0,43
27413,1,0,1,1,0,0,43
27679,1,0,0,0,0,0,43
27945,1,0,0,0,0,0,44
28211,1,0,0,0,0,0,44
28478,0,1,0,0,0,0,43
28744,0,1,0,0,0,0,44
29011,0,1,0,0,0,0,42
29277,0,1,0,0,0,0,43
29543,0,1,0,0,0,0,43
29809,0,1,0,0,0,0,43
30075,0,1,1,1,0,0,42
30341,0,0,1,1,0,0,43
30607,0,0,1,1,0,0,48
30874,0,0,0,0,0,0,43
31140,0,0,0,0,0,0,50
31407,0,0,0,0,0,0,45
31674,0,0,0,0,0,0,43
31940,0,0,0,0,0,0,42
32206,0,0,0,0,0,0,43
32472,0,0,0,0,0,0,42
32738,1,0,0,0,0,0,42
33004,1,0,0,0,0,0,49
33269,0,1,1,1,0,0,0
33534,0,1,1,1,0,0,11
33799,0,0,1,0,0,32,0
34079,0,0,0,0,0,32,0
34343,0,0,0,0,0,0,0
34610,0,0,0,0,0,0,44
34876,0,0,0,0,0,0,43
35140,0,0,0,0,30,0,43
35404,0,0,0,0,0,0,11
35668,1,0,0,0,0,0,12
35934,1,0,0,0,0,0,44
36200,0,0,1,0,0,0,43
36466,0,0,1,1,0,0,45
36732,0,0,1,1,0,0,42
36998,0,0,0,0,0,0,43
37264,0,1,0,0,0,0,43
37530,0,1,0,0,0,0,45
37796,0,1,0,0,0,0,43
38056,0,1,0,0,53,0,0
38331,0,1,0,0,68,0,0
38615,1,1,0,0,0,32,45
38875,1,0,0,0,69,0,0
39139,1,0,0,0,0,0,0
39405,1,0,0,1,0,0,44
39671,1,0,1,1,0,0,42
39937,0,0,1,1,0,0,43
40203,0,0,0,1,0,0,42
40467,0,0,0,0,0,0,11
40731,0,0,0,0,0,0,12
40998,0,0,0,0,0,0,42
41264,0,0,0,0,0,0,45
41531,0,1,0,0,0,0,42
41797,0,1,0,0,0,0,42
42063,0,1,0,0,0,0,43
42329,1,0,0,0,0,0,42
42593,1,0,0,0,0,0,0
42889,1,0,0,1,0,32,0
43154,1,0,1,1,75,32,45
43416,1,0,1,1,69,0,43
43683,1,0,1,1,0,0,43
43947,1,0,1,0,0,0,0
44213,1,0,1,0,0,0,43
44477,1,0,1,0,0,0,0
44743,0,0,1,0,0,0,43
45009,0,0,1,0,0,0,43
45276,0,1,1,0,0,0,43
45543,0,1,0,0,0,0,42
45809,0,1,0,0,0,0,43
46075,0,0,0,0,0,0,43
46341,0,0,0,0,0,0,42
46605,0,0,0,1,0,0,14
46868,0,0,0,1,35,0,0
47132,1,0,0,0,0,0,0
47408,1,0,0,0,51,0,0
47671,1,0,1,0,67,31,13
47955,0,0,1,0,0,32,42
48214,0,1,1,0,61,0,0
48481,0,1,0,0,0,0,43
48747,0,1,0,0,0,0,42
49013,0,1,0,0,0,0,42
49279,0,1,0,0,0,0,43
49545,0,0,0,0,0,0,43
49811,0,0,0,0,0,0,48
50078,0,0,0,0,0,0,42
50344,0,0,0,0,0,0,43
50610,0,0,0,0,0,0,42
50876,1,0,1,0,0,0,43
51142,1,0,1,0,0,0,43
51406,1,0,0,1,0,0,0
51672,0,0,0,1,0,0,44
51938,0,0,0,0,0,0,43
52200,0,0,0,0,52,32,0
52497,0,0,0,0,0,32,0
52759,0,0,0,0,60,0,0
53025,0,1,0,0,0,0,42
53289,0,1,0,0,0,0,0
53555,0,1,1,0,0,0,44
53821,0,1,1,0,0,0,43
54087,0,0,1,0,0,32,11
54353,0,0,0,0,0,0,44
54619,1,0,0,0,0,0,43
54885,1,0,0,0,0,0,44
55151,0,0,0,1,0,0,43
55417,0,0,0,1,0,0,44
55683,0,0,0,1,0,0,43
55949,0,0,0,0,0,0,43
56213,0,0,0,0,0,0,0
56477,0,0,0,0,42,0,43
56751,0,1,1,0,58,43,0
57017,0,1,1,0,55,32,44
57298,1,1,1,0,0,32,0
57562,1,1,0,0,0,0,0
57826,1,1,0,0,0,0,11
58092,1,1,0,0,0,0,43
58358,1,1,0,1,0,0,43
58624,0,0,0,1,0,0,42
58890,0,0,0,1,0,0,42
59156,0,0,0,0,0,0,45
59422,0,0,0,0,0,0,43
59688,0,0,0,0,0,0,43
59954,0,0,0,0,0,0,42
60220,0,0,1,0,0,0,43
60486,0,0,1,0,0,0,45
60752,0,0,1,0,0,0,44
61018,0,0,0,0,0,0,42
61284,0,0,0,0,0,0,43
61548,1,0,0,0,0,0,0
61812,1,0,0,0,0,0,11
62094,1,0,0,1,0,32,0
62361,1,0,0,1,0,32,0
62624,1,1,0,1,55,0,45
62889,1,1,0,1,0,0,0
63154,0,1,0,0,0,0,16
63419,0,0,1,0,0,0,16
63686,0,0,1,0,0,0,42
63951,0,0,1,0,17,0,45
64217,0,0,0,0,0,0,43
64483,0,0,0,0,0,0,42
64747,0,0,0,0,0,0,0
65011,0,0,0,0,0,0,17
65276,1,0,0,0,39,0,44
65541,1,0,0,0,0,0,24
65820,1,0,0,1,0,0,0
66084,0,1,0,1,50,33,11
66367,0,1,0,1,0,31,43
66631,0,1,1,1,0,0,0
66897,0,1,1,1,0,0,42
67163,0,1,1,1,0,0,43
67429,0,1,1,1,0,0,43
67695,0,1,1,1,0,0,43
67961,0,1,0,1,0,0,44
68227,0,1,0,0,0,0,43
68493,0,0,0,0,0,0,44
68760,0,0,0,0,0,0,44
69026,1,0,0,0,0,0,42
69292,1,0,0,0,0,0,50
69559,0,0,0,0,0,0,43
69825,0,0,0,0,0,0,42
70089,0,0,0,0,0,0,0
70357,0,0,0,1,0,33,45
70654,0,0,1,1,0,32,0
70919,0,1,1,1,0,0,0
71185,0,1,1,1,0,0,43
71450,0,1,1,0,0,0,12
71715,0,0,0,0,0,0,13
71982,0,0,0,0,0,0,43
72249,1,0,0,0,0,0,44
72513,1,0,0,0,0,0,12
72779,0,0,0,0,0,0,42
73045,0,0,0,0,0,0,43
73311,0,0,0,0,0,0,42
73575,0,0,0,0,0,0,12
73839,0,0,0,0,0,0,15
74106,0,0,1,0,0,0,44
74371,0,0,1,0,56,33,43
74636,0,1,1,0,45,33,49
74903,0,1,1,0,0,0,43
75169,0,1,1,1,0,0,43
75433,1,0,1,1,0,0,12
75700,1,0,1,1,0,0,44
75964,0,0,1,1,0,0,12
76231,0,0,0,1,0,0,52
76498,0,0,0,0,0,0,43
76764,0,0,0,0,0,0,43
77030,0,0,0,0,0,0,43
77296,0,0,0,0,0,0,44
77562,0,1,0,0,0,0,43
77828,0,1,0,0,0,0,50
78095,0,1,0,0,0,0,43
78361,0,0,0,0,0,0,44
78627,1,0,0,0,0,0,42
78893,1,0,0,1,0,0,42
79176,1,0,1,1,0,31,43
79440,1,0,1,1,0,0,0
79706,1,0,1,1,0,0,43
79970,0,0,1,0,0,0,12
80236,0,0,0,0,0,0,45
80502,0,1,0,0,0,0,43
80768,0,1,0,0,0,0,43
81034,0,0,0,0,0,0,44
81300,0,0,0,0,0,0,43
81566,0,0,0,0,0,0,44
81832,0,0,0,0,0,0,43
82099,0,0,0,0,0,0,55
82363,1,0,0,0,0,0,18
82641,1,0,0,0,61,33,0
82923,1,0,1,1,0,33,0
83184,1,0,1,1,49,0,0
83446,1,0,0,0,42,0,12
83712,1,1,0,0,0,0,43
83976,1,1,0,0,0,0,0
84242,1,1,0,0,0,0,53
84509,0,0,0,0,0,0,44
84776,0,0,0,0,0,0,44
85042,0,0,0,0,0,0,43
85308,0,0,0,0,0,0,44
85574,0,0,1,0,0,0,42
85840,0,0,1,0,0,0,43
86104,0,0,1,0,0,0,11
86370,0,0,0,1,0,0,43
86636,0,0,0,1,0,0,43
86900,1,0,0,1,0,0,0
87179,1,0,0,0,0,0,0
87476,0,0,0,0,0,33,0
87743,0,0,0,0,0,32,12
88010,0,1,0,0,0,0,42
88276,0,1,0,0,0,0,42
88542,0,1,0,0,0,0,43
88808,0,0,1,0,0,0,43
89074,0,0,1,0,0,0,43
89340,0,0,1,0,0,0,43
89606,0,0,0,0,0,0,51
89873,0,0,0,0,0,0,43
90139,1,0,0,0,0,0,43
90402,1,0,0,1,22,0,12
90667,0,0,0,1,0,0,0
90932,0,0,0,0,0,0,25
91193,0,1,0,0,59,0,0
91460,0,1,0,0,17,33,0
91743,0,1,0,0,0,32,47
92010,0,0,0,0,0,0,43
92276,0,0,1,0,0,0,45
92543,0,0,1,0,0,0,43
92809,0,0,0,0,0,0,42
93075,0,0,0,0,0,0,43
93341,0,0,0,0,0,0,42
93607,1,0,0,0,0,0,43
93873,1,0,0,0,0,0,43
94139,1,0,0,0,0,0,44
94405,0,0,0,0,0,0,43
94671,0,0,0,0,0,0,43
94937,0,1,0,1,0,0,42
95203,0,1,1,1,0,0,42
95469,0,0,1,0,0,0,42
95735,0,0,0,0,0,0,48
96004,0,0,0,0,0,33,47
96285,0,0,0,0,0,33,0
96551,0,0,0,0,0,0,42
96818,0,0,0,0,0,0,55
97084,1,0,0,0,0,0,44
97350,1,0,0,0,0,0,44
97616,0,0,0,0,0,0,44
97882,0,0,0,0,0,0,43
98148,0,0,0,0,0,0,43
98414,0,0,0,0,0,0,44
98680,0,0,1,0,0,0,43
98947,0,1,1,1,0,0,43
99211,0,1,1,1,0,0,11
99477,0,1,0,0,0,0,45
99742,0,0,0,0,70,32,43
100006,0,0,0,0,61,32,51
100269,0,0,0,0,60,33,0
100536,1,0,0,0,0,0,44
100802,1,0,0,0,0,0,44
101066,1,0,0,0,0,0,0
101332,1,0,0,0,0,0,44
101598,0,0,0,0,0,0,46
101865,0,0,0,0,0,0,44
102131,0,0,0,0,0,0,43
102397,0,0,0,0,0,0,43
102663,0,0,0,0,0,0,43
102929,0,0,0,0,0,0,54
103194,0,1,0,1,0,0,12
103458,0,1,1,1,0,0,0
103724,1,1,1,1,0,0,43
103990,1,0,1,0,0,0,44
104254,1,0,0,0,0,0,11
104537,0,0,0,0,0,35,44
104801,0,0,0,0,0,0,0
105067,0,0,0,0,0,0,43
105333,0,0,0,0,0,0,44
105599,0,0,0,0,0,0,43
105865,0,0,0,0,0,0,43
106131,0,0,0,0,0,0,44
106397,0,0,0,0,0,0,44
106663,0,0,0,0,0,0,42
106927,0,1,0,1,0,0,0
107193,1,1,1,1,0,0,43
107459,1,1,1,1,0,0,43
107723,1,0,1,1,0,0,12
107988,0,0,0,1,0,0,11
108252,0,0,0,0,0,0,14
108532,0,0,0,0,0,0,0
108798,0,0,0,0,53,31,44
109062,0,0,0,0,0,0,0
109329,0,0,0,0,0,0,44
109595,0,0,0,0,0,0,48
109860,0,0,0,0,0,0,11
110126,0,0,0,0,0,0,43
110392,0,1,0,0,0,0,44
110656,1,1,0,0,0,0,11
110920,1,1,0,0,0,0,13
111185,1,0,0,0,0,0,11
111449,0,0,0,0,0,0,11
111715,0,0,0,0,0,0,44
111981,0,0,0,1,0,0,43
112247,0,0,1,1,0,0,44
112513,0,0,1,1,0,0,43
112777,0,0,0,0,0,0,0
113046,0,0,0,0,0,33,45
113328,0,0,0,0,0,32,18
113593,0,1,0,0,0,0,13
113859,0,1,0,0,0,0,25
114125,1,0,0,0,0,0,43
114391,1,0,0,0,0,0,44
114657,1,0,0,0,0,0,47
114924,0,0,0,0,0,0,43
115190,0,0,0,0,0,0,47
115457,0,0,0,0,0,0,43
115723,0,0,0,0,0,0,42
115989,0,0,1,1,0,0,44
116255,0,0,1,1,0,0,43
116522,0,0,0,1,0,0,55
116783,0,0,0,0,45,0,0
117044,0,0,0,0,49,0,15
117327,0,1,0,0,18,32,0
117594,1,1,0,0,0,31,11
117858,1,1,0,0,0,0,11
118124,1,1,0,0,0,0,44
118388,1,0,0,0,0,0,11
118655,1,0,0,0,0,0,43
118921,0,0,0,0,0,0,43
119187,0,0,0,0,0,0,43
119453,0,0,0,0,0,0,43
119719,0,0,1,0,0,0,42
119983,0,0,1,0,0,0,12
120249,0,0,1,0,0,0,43
120515,0,0,1,0,0,0,43
120781,0,0,0,1,0,0,43
121047,0,0,0,1,0,0,45
121309,1,0,0,1,51,0,0
121574,1,0,0,0,46,32,47
121852,1,0,0,0,67,31,0
122118,1,1,0,0,0,0,0
122379,1,1,0,0,54,0,12
122643,0,1,0,0,0,0,16
122912,0,0,0,0,0,32,44
123178,0,0,0,0,0,0,42
123444,0,0,0,0,0,0,43
123710,0,0,1,0,0,0,43
123976,0,0,1,0,0,0,44
124240,0,0,1,0,0,0,12
124506,0,0,1,1,0,0,43
124770,0,0,0,1,0,0,11
125035,0,0,0,1,0,0,0
125301,1,0,0,0,0,0,43
125564,1,0,0,0,59,0,42
125860,0,1,0,0,0,32,0
126127,0,1,0,0,0,0,43
126391,0,1,0,0,0,0,13
126656,0,0,0,0,0,0,11
126922,0,0,1,0,0,0,42
127188,0,0,1,0,0,0,42
127454,0,0,1,0,0,0,42
127720,0,0,0,0,0,0,42
127987,0,0,0,0,0,0,43
128253,0,0,0,0,0,0,42
128519,1,0,0,0,0,0,43
128785,1,1,0,0,0,0,43
129051,1,1,0,1,0,0,42
129315,0,1,0,1,0,0,12
129582,0,0,0,0,0,0,44
129850,0,0,0,0,0,32,50
130112,0,0,1,0,65,32,0
130376,0,0,1,0,0,0,0
130641,0,0,1,0,0,0,12
130908,0,0,1,0,0,0,43
131174,0,0,0,0,0,0,44
131438,0,0,0,0,0,0,14
131705,1,1,0,0,0,0,43
131971,1,1,0,0,0,0,46
132238,0,1,0,0,0,0,54
132502,0,0,0,0,0,0,12
132769,0,0,0,1,0,0,44
133035,0,0,0,1,0,0,42
133301,0,0,1,1,0,0,43
133565,0,0,1,0,0,0,0
133843,0,0,1,0,53,32,0
134107,0,0,1,0,55,32,0
134373,1,0,1,0,0,0,42
134639,1,0,1,0,0,0,43
134918,1,0,1,0,0,0,0
135185,1,0,1,0,0,0,42
135451,0,1,1,0,0,0,42
135717,0,1,0,0,0,0,44
135983,0,0,0,0,0,0,42
136249,0,0,0,0,0,0,43
136515,0,0,0,0,0,0,43
136781,0,0,0,0,0,0,44
137047,0,0,0,0,0,0,43
137313,0,0,0,0,0,0,49
137593,0,0,0,1,0,0,0
137858,1,0,0,1,0,0,11
138120,1,0,0,0,65,0,48
138404,1,0,0,0,0,36,43
138665,1,0,1,0,73,32,0
138925,1,1,1,0,60,0,0
139191,1,1,1,0,0,0,43
139457,1,1,1,0,0,0,43
139723,1,1,1,0,0,0,43
139989,0,1,1,0,0,0,43
140255,0,0,1,0,0,0,43
140521,0,0,1,0,0,0,43
140787,0,0,0,0,0,0,43
141051,0,0,0,0,0,0,11
141318,0,0,0,1,0,0,43
141582,0,0,0,1,0,0,0
141848,0,0,0,0,0,0,53
142112,0,0,0,0,60,0,43
142376,0,1,0,0,64,33,44
142657,1,1,0,0,0,34,0
142920,1,1,0,0,56,0,43
143184,1,0,1,0,0,0,14
143451,1,0,1,0,0,0,45
143717,1,0,0,0,0,0,43
143983,1,0,0,0,0,0,45
144249,0,0,0,0,0,0,45
144515,0,0,0,0,0,0,42
144781,0,0,0,0,0,0,48
145048,0,0,0,1,0,0,44
145314,0,0,0,1,0,0,43
145580,0,0,0,1,0,0,53
145847,0,1,0,1,0,0,43
146111,0,1,0,0,0,0,12
146377,0,0,0,0,0,0,45
146644,0,0,1,0,0,0,44
146910,1,0,1,0,0,0,45
147178,1,0,0,0,0,33,44
147461,0,0,0,0,0,33,50
147728,0,0,0,0,0,0,44
147992,0,0,0,0,0,0,0
148258,0,0,0,0,0,0,43
148524,0,0,0,1,0,0,44
148790,0,0,0,1,0,0,43
149056,0,0,0,1,0,0,44
149322,0,0,0,0,0,0,44
149588,0,0,1,0,0,0,44
149854,1,0,1,0,0,0,43
150120,1,1,1,0,0,0,43
150384,0,1,0,0,0,0,12
150650,0,1,0,0,0,0,43
150914,0,0,0,0,47,0,42
151190,0,0,0,0,67,0,0
151468,0,0,0,0,62,33,0
151732,0,0,0,0,49,32,0
151997,0,0,0,0,0,0,0
152261,0,0,0,1,0,0,0
152527,0,0,0,1,0,0,43
152791,0,0,1,1,0,0,12
153058,0,0,1,1,0,0,42
153324,0,0,1,1,0,0,42
153590,1,0,0,0,0,0,43
153856,1,0,0,0,0,0,44
154122,0,0,0,0,0,0,43
154389,0,0,0,0,0,0,43
154655,0,1,0,0,0,0,43
154921,0,1,0,0,0,0,43
155185,0,1,0,0,0,0,11
155451,0,0,0,0,0,0,43
155717,0,0,0,0,0,0,42
155983,0,0,0,0,0,0,45
156248,1,0,1,1,58,32,46
156515,1,0,1,1,0,31,0
156776,1,0,1,1,48,0,0
157040,1,0,1,1,42,0,43
157306,0,0,1,0,0,0,45
157572,0,0,0,0,0,0,43
157838,0,0,0,0,0,0,45
158104,0,0,0,0,0,0,43
158370,0,0,0,0,0,0,49
158635,0,0,0,0,0,0,11
158901,0,1,0,0,0,0,43
159165,0,1,0,0,0,0,0
159431,1,1,0,0,0,0,43
159697,1,0,0,0,40,32,42
159959,0,0,1,1,49,0,19
160224,0,0,1,1,48,33,51
160488,0,0,1,1,52,32,11
160751,0,0,0,1,43,0,42
161015,0,0,0,0,0,0,11
161281,0,0,0,0,0,0,42
161547,0,0,0,0,0,0,43
161813,0,1,0,0,0,0,42
162079,0,1,0,0,0,0,43
162345,1,1,0,0,0,0,43
162611,1,0,0,0,0,0,44
162877,0,0,0,0,0,0,43
163143,0,0,0,0,0,0,44
163409,0,0,1,0,0,0,43
163675,0,0,1,0,0,0,53
163942,0,0,0,1,0,0,44
164208,0,0,0,1,0,0,43
164474,0,0,0,0,0,0,44
164752,0,0,0,0,57,32,0
165021,0,0,0,0,0,32,43
165286,1,1,0,0,58,32,45
165550,1,1,0,0,0,0,0
165814,1,0,0,0,40,0,44
166080,0,0,0,0,0,0,43
166346,0,0,1,0,0,0,44
166612,0,0,1,0,0,0,43
166878,0,0,1,1,0,0,44
167144,0,0,0,1,0,0,43
167410,0,0,0,1,0,0,43
167676,0,0,0,0,0,0,44
167942,0,0,0,0,0,0,43
168206,1,0,0,0,0,0,11
168470,1,0,0,0,0,0,0
168750,0,0,0,0,0,0,0
169034,0,0,0,0,0,32,50
169300,0,1,0,0,49,32,43
169564,0,1,1,0,0,0,0
169828,0,0,1,1,0,0,11
170094,0,0,1,1,0,0,42
170360,0,0,0,1,0,0,42
170626,0,0,0,1,0,0,43
170892,0,0,0,1,0,0,42
171158,1,0,0,1,0,0,43
171424,1,0,0,0,0,0,43
171690,0,0,0,0,0,0,43
171956,0,0,0,0,0,0,42
172222,0,0,0,0,0,0,42
172489,0,0,1,0,0,0,55
172755,0,1,1,0,0,0,42
173021,0,1,1,0,0,0,42
173287,0,0,0,0,0,0,42
173553,0,0,0,0,0,0,43
173819,0,0,0,0,0,0,42
174100,0,0,0,0,0,0,47
174362,0,0,0,1,69,34,0
174627,1,0,0,1,62,34,44
174894,1,0,0,1,0,0,43
175158,1,0,0,1,0,0,0
175424,0,0,0,0,0,0,45
175689,0,1,1,0,0,0,12
175956,0,1,1,0,0,0,42
176222,0,0,1,0,0,0,42
176488,0,0,0,0,0,0,44
176754,0,0,0,0,0,0,43
177020,0,0,0,0,0,0,43
177286,0,0,0,0,0,0,43
177552,0,0,0,0,0,0,45
177818,1,0,0,0,0,0,43
178084,1,0,0,1,0,0,44
178350,1,0,0,1,0,0,43
178618,1,0,0,0,0,32,46
178899,1,0,1,0,0,32,0
179178,0,0,1,0,55,32,0
179458,0,1,1,0,0,0,0
179725,0,1,0,0,0,0,43
179989,0,0,0,0,0,0,12
180255,0,0,0,0,0,0,43
180522,0,0,0,0,0,0,43
180788,0,0,0,0,0,0,44
181054,0,0,0,0,0,0,44
181320,0,0,0,0,0,0,44
181586,0,0,0,0,0,0,43
181852,0,0,0,0,0,0,43
182118,0,0,1,0,0,0,45
182382,1,1,1,0,0,0,11
182646,1,1,1,1,0,0,11
182912,0,0,0,1,0,0,44
183178,0,0,0,1,0,0,44
183442,0,0,0,0,0,0,0
183706,0,0,0,0,0,0,0
184002,0,0,0,0,0,33,0
184284,0,0,0,0,0,32,0
184551,0,0,0,0,0,0,44
184817,0,0,0,0,0,0,44
185083,1,0,0,0,0,0,44
185349,1,0,1,0,0,0,44
185613,0,0,1,0,0,0,12
185879,0,0,1,0,0,0,43
186145,0,0,1,0,0,0,44
186411,0,0,0,0,0,0,44
186677,0,0,0,0,0,0,42
186940,0,1,0,1,20,0,11
187206,0,1,0,1,0,0,42
187470,0,1,0,0,0,0,0
187736,0,0,0,0,0,0,43
187999,0,0,0,0,48,0,42
188279,1,0,0,0,0,32,0
188541,1,0,0,0,48,0,0
188805,1,0,1,0,0,0,0
189069,1,0,1,0,0,0,12
189336,1,0,1,0,0,0,43
189602,1,0,1,0,0,0,43
189868,0,0,1,0,0,0,43
190134,0,0,0,0,0,0,44
190400,0,0,0,0,0,0,43
190666,0,0,0,0,0,0,43
190932,0,0,0,0,0,0,45
191198,0,1,0,0,0,0,43
191464,0,1,0,0,0,0,43
191730,0,1,0,1,0,0,45
191994,1,0,0,1,0,0,0
192258,1,0,0,0,0,0,0
192541,1,0,0,0,0,33,47
192838,0,0,1,0,0,33,0
193103,0,0,1,0,0,0,12
193364,0,0,1,0,46,0,17
193631,0,0,1,0,0,0,43
193897,0,0,0,0,0,0,44
194163,0,0,0,0,0,0,43
194427,0,0,0,0,0,0,13
194694,0,0,0,0,0,0,44
194958,0,0,0,0,0,0,11
195224,0,1,0,0,0,0,44
195490,1,1,0,1,0,0,43
195756,1,1,0,1,0,0,43
196022,0,1,0,1,0,0,42
