5Time,P1,P2,P3,P4,S1,S2,S3
102071,0,0,0,0,0,0,42
102337,0,1,0,1,0,0,44
102603,0,1,0,1,0,0,45
102870,0,0,0,1,0,0,43
103136,0,0,0,1,0,0,43
103402,0,0,0,0,0,0,46
103668,0,0,0,0,0,0,43
103934,1,0,0,0,0,0,43
104200,1,0,1,0,0,0,45
104466,1,0,1,0,0,0,44
104733,0,0,1,0,0,0,45
104999,0,0,0,0,0,0,43
105265,0,0,0,0,0,0,44
105531,0,0,0,0,0,0,42
105797,0,1,0,0,0,0,43
106063,0,1,0,0,0,0,44
106329,0,0,0,0,0,0,43
106595,0,0,0,0,0,0,44
106861,0,0,0,1,0,0,43
107127,0,0,0,1,0,0,43
107393,0,0,1,1,0,0,43
107659,0,0,1,1,0,0,43
107925,1,0,1,1,0,0,44
108191,1,0,1,1,0,0,43
108457,1,0,0,1,0,0,44
108723,1,0,0,1,0,0,43
108989,1,0,0,0,0,0,43
109255,0,0,0,0,0,0,43
109521,0,0,0,0,0,0,45
109787,0,0,0,0,0,0,43
110053,0,0,0,0,0,0,43
110319,0,0,0,0,0,0,43
110585,0,0,1,0,0,0,53
110852,0,1,1,0,0,0,43
111118,0,1,0,0,0,0,43
111384,0,0,0,0,0,0,44
111650,0,0,0,0,0,0,43
111916,1,0,0,0,0,0,45
112183,1,0,0,0,0,0,43
112449,0,0,0,0,0,0,43
112715,0,0,0,0,0,0,43
112981,0,0,0,0,0,0,43
113248,0,0,0,0,0,0,58
113514,0,0,0,1,0,0,45
113780,0,0,0,1,0,0,43
114046,0,0,0,1,0,0,44
114312,0,0,0,1,0,0,43
114576,0,0,0,0,0,0,12
114843,0,1,0,0,0,0,43
115109,0,1,0,0,0,0,42
115375,0,0,0,0,0,0,44
115641,1,0,0,0,0,0,44
115907,1,0,0,0,0,0,45
116173,1,0,0,0,0,0,44
116439,1,0,1,0,0,0,44
116705,1,0,1,1,0,0,44
116971,1,0,1,1,0,0,43
117237,1,0,0,1,0,0,42
117503,1,0,0,1,0,0,43
117769,1,0,0,1,0,0,43
118035,1,0,0,1,0,0,43
118301,0,1,0,1,0,0,43
118567,0,1,0,1,0,0,43
118833,0,0,0,1,0,0,45
119099,0,0,0,1,0,0,43
119365,0,0,0,0,0,0,43
119631,0,0,0,0,0,0,43
119897,0,0,1,0,0,0,43
120163,0,0,1,0,0,0,44
120429,0,0,1,0,0,0,43
120695,0,0,0,0,0,0,43
120961,1,0,0,0,0,0,55
121228,1,1,0,0,0,0,43
121494,0,1,0,0,0,0,43
121760,0,0,0,0,0,0,44
122026,0,0,0,0,0,0,43
122292,0,0,0,0,0,0,43
122558,0,0,0,0,0,0,44
122824,0,0,1,1,0,0,44
123090,0,0,1,1,0,0,42
123356,0,0,0,1,0,0,44
123622,0,0,0,0,0,0,43
123888,0,0,0,0,0,0,43
124154,0,1,0,0,0,0,43
124420,1,1,0,0,0,0,42
124687,1,1,0,0,0,0,58
124953,1,1,0,0,0,0,44
125219,1,0,0,0,0,0,43
125485,0,0,0,0,0,0,42
125751,0,0,0,0,0,0,42
126017,0,0,0,0,0,0,43
126283,0,0,0,1,0,0,45
126550,0,0,0,1,0,0,43
126814,0,0,0,1,0,0,14
127079,0,0,0,0,0,0,13
127346,0,0,0,0,0,0,43
127612,0,0,0,0,0,0,44
127878,0,1,0,0,0,0,43
128144,0,1,0,0,0,0,43
128408,0,0,0,0,0,0,13
128675,0,0,0,0,0,0,42
128941,0,0,0,0,0,0,43
129207,0,0,0,0,0,0,45
129473,0,0,0,0,0,0,43
129739,0,0,0,0,0,0,43
130005,0,0,0,0,0,0,43
130271,0,0,0,0,0,0,44
130537,0,0,0,0,0,0,42
130803,0,0,0,1,0,0,44
131069,1,0,0,1,0,0,43
131335,1,0,1,1,0,0,43
131601,1,1,1,0,0,0,43
131867,1,1,1,0,0,0,44
132133,1,1,0,0,0,0,44
132397,1,1,0,0,0,0,12
132664,0,1,0,0,0,0,44
132928,0,1,0,0,0,0,12
133194,0,1,0,0,0,0,44
133460,0,0,0,0,0,0,43
133726,0,0,0,0,0,0,44
133992,0,0,0,0,0,0,43
134258,0,0,0,0,0,0,43
134524,0,0,0,0,0,0,43
134790,0,0,0,0,0,0,44
135056,0,0,0,0,0,0,43
135322,1,0,0,1,0,0,44
135588,1,0,0,1,0,0,43
135854,0,1,0,1,0,0,43
136120,0,1,0,1,0,0,43
136386,0,1,0,1,0,0,43
136652,0,1,0,1,0,0,42
136918,0,0,0,1,0,0,44
137184,0,0,1,1,0,0,43
137450,0,0,1,1,0,0,45
137716,0,0,1,1,0,0,43
137982,0,0,1,1,0,0,45
138248,1,0,0,1,0,0,43
138514,1,0,0,1,0,0,44
138780,0,0,0,1,0,0,43
139046,0,0,0,1,0,0,43
139312,0,0,0,1,0,0,44
139578,0,0,0,1,0,0,43
139844,0,0,0,1,0,0,43
140110,0,0,0,1,0,0,43
140376,0,0,0,0,0,0,43
140642,0,0,0,0,0,0,43
140908,0,1,1,0,0,0,43
141174,0,1,1,0,0,0,44
141440,0,1,1,0,0,0,42
141706,1,0,0,0,0,0,43
141972,1,0,0,0,0,0,43
142238,0,0,0,0,0,0,43
142504,0,0,0,1,0,0,52
142771,0,0,0,1,0,0,53
143038,0,0,0,1,0,0,43
143304,0,0,0,1,0,0,43
143570,0,0,0,1,0,0,43
143849,0,0,0,1,0,0,0
144114,0,0,0,0,0,0,11
144393,0,1,1,0,0,0,0
144673,0,1,1,0,0,0,0
144953,0,1,0,0,0,0,0
145220,0,0,0,0,0,0,43
145486,0,0,0,0,0,0,42
145752,1,0,0,0,0,0,44
146018,1,0,0,0,0,0,44
146284,1,0,0,0,0,0,43
146550,0,0,0,0,0,0,45
146816,0,0,0,1,0,0,44
147082,0,0,0,1,0,0,43
147348,0,0,0,0,0,0,53
147615,0,0,0,0,0,0,43
147881,0,0,0,0,0,0,45
148147,0,0,0,0,0,0,43
148413,0,0,1,0,0,0,43
148679,0,1,1,0,0,0,44
148945,0,1,1,0,0,0,43
149211,0,0,1,0,0,0,44
149477,1,0,0,1,0,0,43
149743,1,0,0,1,0,0,43
150009,1,0,0,1,0,0,44
150275,1,0,0,1,0,0,45
150542,1,0,0,1,0,0,54
150809,1,0,0,1,0,0,44
151075,1,0,0,1,0,0,49
151342,0,0,0,0,0,0,43
151608,0,0,0,0,0,0,51
151875,0,0,0,0,0,0,44
152141,0,0,0,0,0,0,44
152407,0,0,0,0,0,0,43
152673,0,0,0,0,0,0,43
152939,0,1,1,0,0,0,43
153205,0,1,1,0,0,0,49
153472,0,1,1,0,0,0,44
153738,0,1,1,0,0,0,43
154004,0,0,1,0,0,0,43
154270,0,0,0,0,0,0,44
154536,0,0,0,1,0,0,43
154802,1,0,0,1,0,0,43
155068,1,0,0,1,0,0,43
155335,1,0,0,0,0,0,44
155601,1,0,0,0,0,0,44
155868,1,0,0,0,0,0,58
156134,1,0,0,0,0,0,44
156400,1,0,0,0,0,0,44
156666,0,1,1,0,0,0,44
156932,0,1,1,0,0,0,44
157198,0,1,1,0,0,0,43
157464,0,1,0,0,0,0,43
157730,0,1,0,1,0,0,43
157996,0,1,0,1,0,0,43
158262,0,1,0,1,0,0,43
158528,0,1,0,0,0,0,44
158794,0,1,0,0,0,0,43
159060,0,1,0,0,0,0,43
159326,0,0,0,0,0,0,43
159592,0,0,0,0,0,0,44
159856,0,0,0,0,0,0,12
