TS(ms): 860803 | PIR: 1,1,1,0 | US(cm): 202,209,214 | Delta(cm): 0,0,0
TS(ms): 861067 | PIR: 1,0,1,1 | US(cm): 203,210,213 | Delta(cm): 0,0,0
TS(ms): 861331 | PIR: 1,0,0,1 | US(cm): 202,210,214 | Delta(cm): 0,0,0
TS(ms): 861595 | PIR: 1,0,0,1 | US(cm): 206,210,216 | Delta(cm): 0,0,0
TS(ms): 861875 | PIR: 1,0,0,1 | US(cm): 206,210,-1 | Delta(cm): 0,0,0
TS(ms): 862186 | PIR: 0,0,0,0 | US(cm): -1,-1,-1 | Delta(cm): 0,0,0
TS(ms): 862484 | PIR: 0,0,0,0 | US(cm): -1,246,-1 | Delta(cm): 0,35,0
TS(ms): 862764 | PIR: 0,0,0,0 | US(cm): 206,209,-1 | Delta(cm): 0,0,0
TS(ms): 863044 | PIR: 0,0,0,0 | US(cm): 204,209,-1 | Delta(cm): 0,0,0
TS(ms): 863324 | PIR: 0,0,0,0 | US(cm): 207,209,-1 | Delta(cm): 0,0,0
TS(ms): 863589 | PIR: 0,1,0,0 | US(cm): 206,217,216 | Delta(cm): 0,0,0
TS(ms): 863854 | PIR: 0,1,1,0 | US(cm): 208,210,215 | Delta(cm): 0,0,0
TS(ms): 864133 | PIR: 0,0,1,0 | US(cm): 207,217,-1 | Delta(cm): 0,0,0
TS(ms): 864413 | PIR: 0,0,0,0 | US(cm): 207,211,-1 | Delta(cm): 0,0,0
TS(ms): 864678 | PIR: 0,0,0,0 | US(cm): 207,211,215 | Delta(cm): 0,0,0
TS(ms): 864942 | PIR: 0,0,0,0 | US(cm): 207,209,215 | Delta(cm): 0,0,0
TS(ms): 865207 | PIR: 0,0,0,0 | US(cm): 206,210,215 | Delta(cm): 0,0,0
TS(ms): 865472 | PIR: 0,0,0,0 | US(cm): 206,209,215 | Delta(cm): 0,0,0
TS(ms): 865752 | PIR: 1,0,0,0 | US(cm): 206,210,-1 | Delta(cm): 0,0,0
TS(ms): 866017 | PIR: 1,0,0,1 | US(cm): 206,209,218 | Delta(cm): 0,0,0
TS(ms): 866297 | PIR: 1,0,0,1 | US(cm): 201,209,-1 | Delta(cm): 0,0,0
TS(ms): 866592 | PIR: 1,0,0,0 | US(cm): 211,-1,-1 | Delta(cm): 0,0,0
TS(ms): 866890 | PIR: 1,0,1,0 | US(cm): -1,241,-1 | Delta(cm): 0,30,0
TS(ms): 867155 | PIR: 0,0,1,0 | US(cm): 206,210,215 | Delta(cm): 0,0,0
TS(ms): 867435 | PIR: 0,0,0,0 | US(cm): 203,208,-1 | Delta(cm): 0,0,0
TS(ms): 867715 | PIR: 0,1,0,0 | US(cm): 207,209,-1 | Delta(cm): 0,0,0
TS(ms): 867981 | PIR: 0,1,0,0 | US(cm): 206,211,224 | Delta(cm): 0,0,0
TS(ms): 868245 | PIR: 0,1,0,0 | US(cm): 207,209,214 | Delta(cm): 0,0,0
TS(ms): 868509 | PIR: 0,0,0,0 | US(cm): 203,210,215 | Delta(cm): 0,0,0
TS(ms): 868774 | PIR: 0,0,0,0 | US(cm): 206,209,215 | Delta(cm): 0,0,0
TS(ms): 869038 | PIR: 0,0,0,0 | US(cm): 204,209,216 | Delta(cm): 0,0,0
TS(ms): 869303 | PIR: 0,0,0,0 | US(cm): 203,209,216 | Delta(cm): 0,0,0
TS(ms): 869583 | PIR: 0,0,0,0 | US(cm): 202,210,-1 | Delta(cm): 0,0,0
TS(ms): 869863 | PIR: 0,0,0,0 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 870143 | PIR: 0,0,0,0 | US(cm): 207,209,-1 | Delta(cm): 0,0,0
TS(ms): 870423 | PIR: 1,0,1,1 | US(cm): 207,209,-1 | Delta(cm): 0,0,0
TS(ms): 870703 | PIR: 1,0,1,1 | US(cm): 205,210,-1 | Delta(cm): 0,0,0
TS(ms): 870968 | PIR: 1,0,1,1 | US(cm): 205,210,215 | Delta(cm): 0,0,0
TS(ms): 871248 | PIR: 0,0,0,0 | US(cm): 205,209,-1 | Delta(cm): 0,0,0
TS(ms): 871528 | PIR: 0,0,0,0 | US(cm): 203,210,-1 | Delta(cm): 0,0,0
TS(ms): 871840 | PIR: 0,0,0,0 | US(cm): -1,-1,-1 | Delta(cm): 0,0,0
TS(ms): 872125 | PIR: 0,0,0,0 | US(cm): 15,-1,-1 | Delta(cm): 192,0,0
TS(ms): 872405 | PIR: 0,0,0,0 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 872685 | PIR: 0,0,0,0 | US(cm): 204,209,-1 | Delta(cm): 0,0,0
TS(ms): 872965 | PIR: 0,0,0,0 | US(cm): 203,210,-1 | Delta(cm): 0,0,0
TS(ms): 873245 | PIR: 0,1,0,0 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 873525 | PIR: 0,1,0,0 | US(cm): 206,217,-1 | Delta(cm): 0,0,0
TS(ms): 873790 | PIR: 0,1,1,1 | US(cm): 202,209,218 | Delta(cm): 0,0,0
TS(ms): 874056 | PIR: 1,0,1,1 | US(cm): 206,218,220 | Delta(cm): 0,0,0
TS(ms): 874321 | PIR: 1,0,1,1 | US(cm): 206,208,218 | Delta(cm): 0,0,0
TS(ms): 874586 | PIR: 1,0,0,0 | US(cm): 206,208,215 | Delta(cm): 0,0,0
TS(ms): 874866 | PIR: 0,0,0,0 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 875131 | PIR: 0,0,0,0 | US(cm): 204,210,214 | Delta(cm): 0,0,0
TS(ms): 875410 | PIR: 0,0,0,0 | US(cm): 206,209,-1 | Delta(cm): 0,0,0
TS(ms): 875675 | PIR: 0,0,0,0 | US(cm): 203,209,217 | Delta(cm): 0,0,0
TS(ms): 875940 | PIR: 0,0,0,0 | US(cm): 207,208,215 | Delta(cm): 0,0,0
TS(ms): 876204 | PIR: 0,1,0,0 | US(cm): 203,209,215 | Delta(cm): 0,0,0
TS(ms): 876468 | PIR: 0,1,0,0 | US(cm): 204,211,214 | Delta(cm): 0,0,0
TS(ms): 876748 | PIR: 0,1,0,0 | US(cm): 208,209,-1 | Delta(cm): 0,0,0
TS(ms): 877019 | PIR: 1,0,1,0 | US(cm): 202,46,-1 | Delta(cm): 0,165,0
TS(ms): 877304 | PIR: 1,0,1,0 | US(cm): 26,-1,-1 | Delta(cm): 181,0,0
TS(ms): 877588 | PIR: 1,0,1,1 | US(cm): 13,-1,-1 | Delta(cm): 194,0,0
TS(ms): 877853 | PIR: 1,0,1,1 | US(cm): 203,209,214 | Delta(cm): 0,0,0
TS(ms): 878118 | PIR: 0,0,0,1 | US(cm): 204,208,213 | Delta(cm): 0,0,0
TS(ms): 878382 | PIR: 0,0,0,0 | US(cm): 203,209,215 | Delta(cm): 0,0,0
TS(ms): 878661 | PIR: 0,0,0,0 | US(cm): 204,210,-1 | Delta(cm): 0,0,0
TS(ms): 878926 | PIR: 0,0,0,0 | US(cm): 202,210,215 | Delta(cm): 0,0,0
TS(ms): 879206 | PIR: 0,0,0,0 | US(cm): 203,209,-1 | Delta(cm): 0,0,0
TS(ms): 879486 | PIR: 0,0,0,0 | US(cm): 207,209,-1 | Delta(cm): 0,0,0
TS(ms): 879766 | PIR: 0,0,0,0 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 880031 | PIR: 0,0,0,0 | US(cm): 208,210,215 | Delta(cm): 0,0,0
TS(ms): 880311 | PIR: 0,0,0,0 | US(cm): 204,215,-1 | Delta(cm): 0,0,0
TS(ms): 880591 | PIR: 1,0,1,0 | US(cm): 205,210,-1 | Delta(cm): 0,0,0
TS(ms): 880856 | PIR: 1,0,1,0 | US(cm): 202,210,216 | Delta(cm): 0,0,0
TS(ms): 881121 | PIR: 1,1,1,1 | US(cm): 205,209,217 | Delta(cm): 0,0,0
TS(ms): 881401 | PIR: 0,1,1,1 | US(cm): 204,209,-1 | Delta(cm): 0,0,0
TS(ms): 881666 | PIR: 0,1,0,0 | US(cm): 205,209,214 | Delta(cm): 0,0,0
TS(ms): 881946 | PIR: 0,0,0,0 | US(cm): 204,209,-1 | Delta(cm): 0,0,0
TS(ms): 882226 | PIR: 0,0,0,0 | US(cm): 201,210,-1 | Delta(cm): 0,0,0
TS(ms): 882511 | PIR: 0,0,0,0 | US(cm): 11,-1,-1 | Delta(cm): 196,0,0
TS(ms): 882765 | PIR: 0,0,0,0 | US(cm): 27,210,214 | Delta(cm): 180,0,0
TS(ms): 883029 | PIR: 0,0,0,0 | US(cm): 207,209,215 | Delta(cm): 0,0,0
TS(ms): 883294 | PIR: 0,0,0,0 | US(cm): 206,215,215 | Delta(cm): 0,0,0
TS(ms): 883574 | PIR: 0,0,0,0 | US(cm): 207,209,-1 | Delta(cm): 0,0,0
TS(ms): 883839 | PIR: 0,0,0,0 | US(cm): 207,209,217 | Delta(cm): 0,0,0
TS(ms): 884104 | PIR: 0,0,0,0 | US(cm): 204,209,222 | Delta(cm): 0,0,0
TS(ms): 884369 | PIR: 0,0,1,1 | US(cm): 205,211,216 | Delta(cm): 0,0,0
TS(ms): 884634 | PIR: 1,0,1,1 | US(cm): 206,210,216 | Delta(cm): 0,0,0
TS(ms): 884899 | PIR: 1,0,0,1 | US(cm): 206,209,214 | Delta(cm): 0,0,0
TS(ms): 885163 | PIR: 1,0,0,0 | US(cm): 206,209,215 | Delta(cm): 0,0,0
