TS(ms): 404566 | PIR: 0,0,0,1 | US(cm): 210,211,252 | Delta(cm): 0,0,49
TS(ms): 404833 | PIR: 0,0,0,1 | US(cm): 208,211,247 | Delta(cm): 0,0,44
TS(ms): 405097 | PIR: 1,0,0,1 | US(cm): 209,211,214 | Delta(cm): 0,0,11
TS(ms): 405363 | PIR: 1,0,0,1 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 405629 | PIR: 1,0,0,0 | US(cm): 210,212,246 | Delta(cm): 0,0,43
TS(ms): 405895 | PIR: 1,0,1,0 | US(cm): 210,210,245 | Delta(cm): 0,0,42
TS(ms): 406159 | PIR: 1,0,1,0 | US(cm): 183,211,246 | Delta(cm): 26,0,43
TS(ms): 406438 | PIR: 0,0,0,0 | US(cm): 210,211,-1 | Delta(cm): 0,0,0
TS(ms): 406702 | PIR: 0,0,0,0 | US(cm): 158,218,246 | Delta(cm): 51,0,43
TS(ms): 406965 | PIR: 0,0,0,0 | US(cm): 156,244,214 | Delta(cm): 53,33,11
TS(ms): 407231 | PIR: 0,0,0,0 | US(cm): 149,245,248 | Delta(cm): 60,34,45
TS(ms): 407498 | PIR: 0,1,0,0 | US(cm): 210,211,245 | Delta(cm): 0,0,42
TS(ms): 407762 | PIR: 0,1,0,0 | US(cm): 210,211,212 | Delta(cm): 0,0,0
TS(ms): 408029 | PIR: 0,0,0,1 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 408293 | PIR: 0,0,0,1 | US(cm): 209,212,216 | Delta(cm): 0,0,13
TS(ms): 408560 | PIR: 0,0,0,1 | US(cm): 211,211,253 | Delta(cm): 0,0,50
TS(ms): 408827 | PIR: 1,0,0,1 | US(cm): 210,210,246 | Delta(cm): 0,0,43
TS(ms): 409093 | PIR: 1,0,1,0 | US(cm): 209,210,245 | Delta(cm): 0,0,42
TS(ms): 409359 | PIR: 1,0,1,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 409625 | PIR: 0,0,1,0 | US(cm): 210,211,254 | Delta(cm): 0,0,51
TS(ms): 409892 | PIR: 0,0,0,0 | US(cm): 209,213,246 | Delta(cm): 0,0,43
TS(ms): 410158 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 410422 | PIR: 0,1,0,0 | US(cm): 209,210,216 | Delta(cm): 0,0,13
TS(ms): 410687 | PIR: 0,1,0,0 | US(cm): 210,211,213 | Delta(cm): 0,0,0
TS(ms): 410953 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 411217 | PIR: 0,0,0,0 | US(cm): 210,212,214 | Delta(cm): 0,0,11
TS(ms): 411477 | PIR: 0,0,0,0 | US(cm): 141,212,212 | Delta(cm): 68,0,0
TS(ms): 411760 | PIR: 1,0,0,1 | US(cm): -1,246,248 | Delta(cm): 0,35,45
TS(ms): 412021 | PIR: 1,0,0,1 | US(cm): 141,244,201 | Delta(cm): 68,33,0
TS(ms): 412285 | PIR: 1,0,0,1 | US(cm): 210,212,203 | Delta(cm): 0,0,0
TS(ms): 412550 | PIR: 1,0,1,1 | US(cm): 211,210,212 | Delta(cm): 0,0,0
TS(ms): 412816 | PIR: 0,0,1,0 | US(cm): 210,211,247 | Delta(cm): 0,0,44
TS(ms): 413082 | PIR: 0,0,0,0 | US(cm): 209,212,252 | Delta(cm): 0,0,49
TS(ms): 413347 | PIR: 0,0,0,0 | US(cm): 209,210,215 | Delta(cm): 0,0,12
TS(ms): 413612 | PIR: 0,0,0,0 | US(cm): 211,211,215 | Delta(cm): 0,0,12
TS(ms): 413878 | PIR: 0,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 414144 | PIR: 0,0,0,0 | US(cm): 209,210,246 | Delta(cm): 0,0,43
TS(ms): 414410 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 414676 | PIR: 0,1,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 414942 | PIR: 1,1,0,0 | US(cm): 209,212,247 | Delta(cm): 0,0,44
TS(ms): 415208 | PIR: 1,0,0,1 | US(cm): 209,217,245 | Delta(cm): 0,0,42
TS(ms): 415471 | PIR: 1,0,0,1 | US(cm): 165,210,251 | Delta(cm): 44,0,48
TS(ms): 415738 | PIR: 0,0,1,1 | US(cm): 210,211,245 | Delta(cm): 0,0,42
TS(ms): 416004 | PIR: 0,0,1,0 | US(cm): 210,213,245 | Delta(cm): 0,0,42
TS(ms): 416281 | PIR: 0,0,1,0 | US(cm): 141,243,-1 | Delta(cm): 68,32,0
TS(ms): 416559 | PIR: 0,0,1,0 | US(cm): 139,244,-1 | Delta(cm): 70,33,0
TS(ms): 416820 | PIR: 0,0,1,0 | US(cm): 145,211,213 | Delta(cm): 64,0,0
TS(ms): 417086 | PIR: 0,0,0,0 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 417352 | PIR: 0,0,0,0 | US(cm): 211,212,251 | Delta(cm): 0,0,48
TS(ms): 417617 | PIR: 0,0,0,0 | US(cm): 209,212,216 | Delta(cm): 0,0,13
TS(ms): 417884 | PIR: 0,0,0,0 | US(cm): 209,217,248 | Delta(cm): 0,0,45
TS(ms): 418150 | PIR: 0,1,0,0 | US(cm): 209,217,246 | Delta(cm): 0,0,43
TS(ms): 418416 | PIR: 1,1,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 418682 | PIR: 1,0,0,0 | US(cm): 211,211,246 | Delta(cm): 0,0,43
TS(ms): 418948 | PIR: 0,0,0,0 | US(cm): 211,210,246 | Delta(cm): 0,0,43
TS(ms): 419214 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 419480 | PIR: 0,0,1,0 | US(cm): 211,211,246 | Delta(cm): 0,0,43
TS(ms): 419747 | PIR: 0,0,1,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 420013 | PIR: 0,0,1,1 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 420279 | PIR: 0,0,0,1 | US(cm): 209,210,246 | Delta(cm): 0,0,43
TS(ms): 420545 | PIR: 0,0,0,1 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 420811 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 421072 | PIR: 0,0,0,0 | US(cm): 135,243,200 | Delta(cm): 74,32,0
TS(ms): 421345 | PIR: 1,0,0,0 | US(cm): 140,164,-1 | Delta(cm): 69,47,0
TS(ms): 421608 | PIR: 1,1,0,0 | US(cm): 144,210,246 | Delta(cm): 65,0,43
TS(ms): 421869 | PIR: 1,1,0,0 | US(cm): 159,211,213 | Delta(cm): 50,0,0
TS(ms): 422136 | PIR: 1,0,0,0 | US(cm): 211,211,246 | Delta(cm): 0,0,43
TS(ms): 422402 | PIR: 1,0,0,0 | US(cm): 210,210,248 | Delta(cm): 0,0,45
TS(ms): 422669 | PIR: 1,0,1,0 | US(cm): 210,211,247 | Delta(cm): 0,0,44
TS(ms): 422935 | PIR: 0,0,1,0 | US(cm): 209,210,247 | Delta(cm): 0,0,44
TS(ms): 423202 | PIR: 0,0,1,0 | US(cm): 209,210,261 | Delta(cm): 0,0,58
TS(ms): 423468 | PIR: 0,0,0,0 | US(cm): 210,212,248 | Delta(cm): 0,0,45
TS(ms): 423735 | PIR: 0,0,0,0 | US(cm): 209,212,261 | Delta(cm): 0,0,58
TS(ms): 424001 | PIR: 0,0,0,1 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 424265 | PIR: 0,0,0,1 | US(cm): 177,210,247 | Delta(cm): 32,0,44
TS(ms): 424528 | PIR: 0,0,0,1 | US(cm): 162,211,247 | Delta(cm): 47,0,44
TS(ms): 424794 | PIR: 0,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 425049 | PIR: 0,0,0,0 | US(cm): 143,142,202 | Delta(cm): 66,69,0
TS(ms): 425311 | PIR: 0,0,0,0 | US(cm): 138,244,205 | Delta(cm): 71,33,0
TS(ms): 425577 | PIR: 1,1,0,0 | US(cm): 139,243,258 | Delta(cm): 70,32,55
TS(ms): 425839 | PIR: 1,1,0,0 | US(cm): 143,211,245 | Delta(cm): 66,0,42
TS(ms): 426106 | PIR: 1,1,1,0 | US(cm): 209,210,262 | Delta(cm): 0,0,59
TS(ms): 426370 | PIR: 1,0,1,0 | US(cm): 209,211,216 | Delta(cm): 0,0,13
TS(ms): 426637 | PIR: 1,0,1,0 | US(cm): 209,211,255 | Delta(cm): 0,0,52
TS(ms): 426904 | PIR: 0,0,1,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 427170 | PIR: 0,0,0,0 | US(cm): 209,217,246 | Delta(cm): 0,0,43
TS(ms): 427436 | PIR: 0,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 427702 | PIR: 0,0,0,0 | US(cm): 211,211,246 | Delta(cm): 0,0,43
TS(ms): 427968 | PIR: 0,0,0,0 | US(cm): 209,210,246 | Delta(cm): 0,0,43
TS(ms): 428234 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 428500 | PIR: 0,1,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 428766 | PIR: 0,1,0,1 | US(cm): 209,211,252 | Delta(cm): 0,0,49
TS(ms): 429033 | PIR: 0,1,0,1 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 429299 | PIR: 0,0,0,1 | US(cm): 210,212,246 | Delta(cm): 0,0,43
TS(ms): 429565 | PIR: 1,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 429829 | PIR: 1,0,0,0 | US(cm): 146,244,246 | Delta(cm): 63,33,43
TS(ms): 430107 | PIR: 0,0,1,0 | US(cm): 165,243,-1 | Delta(cm): 44,32,0
TS(ms): 430387 | PIR: 0,0,1,0 | US(cm): 167,244,-1 | Delta(cm): 42,33,0
