TS(ms): 68833 | PIR: 1,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 69097 | PIR: 1,0,0,0 | US(cm): 210,212,214 | Delta(cm): 0,0,12
TS(ms): 69364 | PIR: 1,0,0,0 | US(cm): 209,212,246 | Delta(cm): 0,0,44
TS(ms): 69630 | PIR: 1,1,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,45
TS(ms): 69896 | PIR: 1,1,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 70162 | PIR: 0,1,0,0 | US(cm): 210,212,248 | Delta(cm): 0,0,46
TS(ms): 70429 | PIR: 0,1,0,0 | US(cm): 210,212,253 | Delta(cm): 0,0,51
TS(ms): 70696 | PIR: 0,1,0,0 | US(cm): 210,212,247 | Delta(cm): 0,0,45
TS(ms): 70962 | PIR: 0,1,0,0 | US(cm): 209,212,247 | Delta(cm): 0,0,45
TS(ms): 71228 | PIR: 0,0,0,0 | US(cm): 210,212,246 | Delta(cm): 0,0,44
TS(ms): 71494 | PIR: 0,0,0,0 | US(cm): 210,212,248 | Delta(cm): 0,0,46
TS(ms): 71760 | PIR: 0,0,0,1 | US(cm): 211,211,248 | Delta(cm): 0,0,46
TS(ms): 72026 | PIR: 0,0,1,1 | US(cm): 209,211,247 | Delta(cm): 0,0,45
TS(ms): 72305 | PIR: 1,0,1,1 | US(cm): 209,211,-1 | Delta(cm): 0,0,0
TS(ms): 72572 | PIR: 1,0,1,0 | US(cm): 209,212,245 | Delta(cm): 0,0,43
TS(ms): 72838 | PIR: 1,0,1,0 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 73104 | PIR: 1,0,1,0 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 73370 | PIR: 1,0,0,0 | US(cm): 210,217,247 | Delta(cm): 0,0,45
TS(ms): 73636 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 73902 | PIR: 0,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,44
TS(ms): 74168 | PIR: 0,1,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 74433 | PIR: 0,1,0,0 | US(cm): 210,211,214 | Delta(cm): 0,0,12
TS(ms): 74699 | PIR: 0,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,45
TS(ms): 74965 | PIR: 0,0,0,1 | US(cm): 209,212,245 | Delta(cm): 0,0,43
TS(ms): 75231 | PIR: 0,0,0,1 | US(cm): 209,217,246 | Delta(cm): 0,0,44
TS(ms): 75497 | PIR: 0,0,1,1 | US(cm): 209,211,247 | Delta(cm): 0,0,45
TS(ms): 75763 | PIR: 0,0,1,1 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 76029 | PIR: 0,0,1,1 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 76295 | PIR: 0,0,1,1 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 76561 | PIR: 1,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,44
TS(ms): 76828 | PIR: 1,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,44
TS(ms): 77095 | PIR: 1,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 77361 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 77627 | PIR: 0,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,44
TS(ms): 77893 | PIR: 0,0,0,0 | US(cm): 209,212,247 | Delta(cm): 0,0,45
TS(ms): 78159 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 78425 | PIR: 0,1,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,44
TS(ms): 78691 | PIR: 0,1,0,0 | US(cm): 209,210,247 | Delta(cm): 0,0,45
TS(ms): 78957 | PIR: 0,0,0,0 | US(cm): 209,210,247 | Delta(cm): 0,0,45
TS(ms): 79223 | PIR: 0,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,45
TS(ms): 79489 | PIR: 0,0,0,1 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 79755 | PIR: 1,0,1,1 | US(cm): 209,210,247 | Delta(cm): 0,0,45
TS(ms): 80021 | PIR: 1,0,1,1 | US(cm): 210,211,247 | Delta(cm): 0,0,45
TS(ms): 80287 | PIR: 1,0,1,1 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 80553 | PIR: 1,0,1,0 | US(cm): 209,210,247 | Delta(cm): 0,0,45
TS(ms): 80819 | PIR: 0,0,1,0 | US(cm): 208,210,246 | Delta(cm): 0,0,44
TS(ms): 81085 | PIR: 0,0,1,0 | US(cm): 208,210,246 | Delta(cm): 0,0,44
TS(ms): 81351 | PIR: 0,0,0,0 | US(cm): 208,210,246 | Delta(cm): 0,0,44
TS(ms): 81617 | PIR: 0,0,0,0 | US(cm): 208,210,245 | Delta(cm): 0,0,43
TS(ms): 81883 | PIR: 0,1,0,0 | US(cm): 208,217,246 | Delta(cm): 0,0,44
TS(ms): 82149 | PIR: 0,1,0,0 | US(cm): 209,210,246 | Delta(cm): 0,0,44
TS(ms): 82415 | PIR: 0,1,0,0 | US(cm): 208,211,246 | Delta(cm): 0,0,44
TS(ms): 82681 | PIR: 0,0,0,0 | US(cm): 209,210,249 | Delta(cm): 0,0,47
TS(ms): 82947 | PIR: 0,0,0,0 | US(cm): 209,210,246 | Delta(cm): 0,0,44
TS(ms): 83213 | PIR: 1,0,0,0 | US(cm): 209,212,245 | Delta(cm): 0,0,43
TS(ms): 83479 | PIR: 1,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 83745 | PIR: 1,0,0,0 | US(cm): 209,210,246 | Delta(cm): 0,0,44
TS(ms): 84011 | PIR: 1,0,1,0 | US(cm): 209,210,246 | Delta(cm): 0,0,44
TS(ms): 84277 | PIR: 1,0,1,1 | US(cm): 210,216,253 | Delta(cm): 0,0,51
TS(ms): 84544 | PIR: 0,0,0,1 | US(cm): 209,210,245 | Delta(cm): 0,0,43
TS(ms): 84810 | PIR: 0,0,0,0 | US(cm): 209,210,245 | Delta(cm): 0,0,43
TS(ms): 85074 | PIR: 0,0,0,0 | US(cm): 208,210,214 | Delta(cm): 0,0,12
TS(ms): 85340 | PIR: 0,0,0,0 | US(cm): 210,210,255 | Delta(cm): 0,0,53
TS(ms): 85607 | PIR: 0,1,0,0 | US(cm): 210,210,246 | Delta(cm): 0,0,44
TS(ms): 85873 | PIR: 0,1,0,0 | US(cm): 208,211,253 | Delta(cm): 0,0,51
TS(ms): 86140 | PIR: 0,1,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 86406 | PIR: 0,0,0,0 | US(cm): 209,216,246 | Delta(cm): 0,0,44
TS(ms): 86672 | PIR: 0,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,45
TS(ms): 86938 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 87204 | PIR: 1,0,0,0 | US(cm): 209,210,248 | Delta(cm): 0,0,46
TS(ms): 87470 | PIR: 1,0,0,1 | US(cm): 208,211,245 | Delta(cm): 0,0,43
TS(ms): 87736 | PIR: 1,0,1,1 | US(cm): 209,210,246 | Delta(cm): 0,0,44
TS(ms): 88002 | PIR: 1,0,1,1 | US(cm): 208,211,245 | Delta(cm): 0,0,43
TS(ms): 88268 | PIR: 1,0,1,0 | US(cm): 208,216,245 | Delta(cm): 0,0,43
TS(ms): 88534 | PIR: 0,0,0,0 | US(cm): 209,210,244 | Delta(cm): 0,0,42
TS(ms): 88793 | PIR: 0,0,0,0 | US(cm): 209,211,125 | Delta(cm): 0,0,77
TS(ms): 89052 | PIR: 0,0,0,0 | US(cm): 210,210,124 | Delta(cm): 0,0,78
TS(ms): 89311 | PIR: 0,0,0,0 | US(cm): 208,211,125 | Delta(cm): 0,0,77
TS(ms): 89577 | PIR: 0,0,0,0 | US(cm): 209,211,244 | Delta(cm): 0,0,42
TS(ms): 89843 | PIR: 0,0,0,0 | US(cm): 209,211,244 | Delta(cm): 0,0,42
TS(ms): 90109 | PIR: 0,1,0,0 | US(cm): 208,211,244 | Delta(cm): 0,0,42
TS(ms): 90368 | PIR: 0,1,0,0 | US(cm): 209,211,123 | Delta(cm): 0,0,79
TS(ms): 90634 | PIR: 0,1,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 90900 | PIR: 0,0,0,0 | US(cm): 210,211,245 | Delta(cm): 0,0,43
TS(ms): 91166 | PIR: 0,0,1,0 | US(cm): 210,211,245 | Delta(cm): 0,0,43
TS(ms): 91432 | PIR: 1,0,1,1 | US(cm): 208,211,245 | Delta(cm): 0,0,43
TS(ms): 91698 | PIR: 1,0,1,1 | US(cm): 209,212,245 | Delta(cm): 0,0,43
TS(ms): 91964 | PIR: 0,0,1,1 | US(cm): 209,217,246 | Delta(cm): 0,0,44
TS(ms): 92230 | PIR: 0,0,0,0 | US(cm): 209,210,245 | Delta(cm): 0,0,43
TS(ms): 92496 | PIR: 0,0,0,0 | US(cm): 210,210,247 | Delta(cm): 0,0,45
TS(ms): 92762 | PIR: 0,0,0,0 | US(cm): 208,210,245 | Delta(cm): 0,0,43
TS(ms): 93028 | PIR: 0,0,0,0 | US(cm): 209,210,249 | Delta(cm): 0,0,47
TS(ms): 93294 | PIR: 0,0,0,0 | US(cm): 209,210,245 | Delta(cm): 0,0,43
TS(ms): 93560 | PIR: 0,1,0,0 | US(cm): 209,210,246 | Delta(cm): 0,0,44
TS(ms): 93826 | PIR: 0,1,0,0 | US(cm): 209,210,245 | Delta(cm): 0,0,43
TS(ms): 94092 | PIR: 0,1,0,0 | US(cm): 209,210,247 | Delta(cm): 0,0,45
TS(ms): 94358 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 94624 | PIR: 0,0,1,1 | US(cm): 209,210,245 | Delta(cm): 0,0,43
TS(ms): 94890 | PIR: 1,0,1,1 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 95156 | PIR: 1,0,1,1 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 95422 | PIR: 0,0,1,1 | US(cm): 210,210,245 | Delta(cm): 0,0,43
TS(ms): 95688 | PIR: 0,0,1,1 | US(cm): 209,210,246 | Delta(cm): 0,0,44
TS(ms): 95954 | PIR: 0,0,0,1 | US(cm): 209,212,245 | Delta(cm): 0,0,43
TS(ms): 96220 | PIR: 0,0,0,1 | US(cm): 209,210,246 | Delta(cm): 0,0,44
TS(ms): 96486 | PIR: 0,0,0,1 | US(cm): 209,210,245 | Delta(cm): 0,0,43
TS(ms): 96752 | PIR: 0,0,0,0 | US(cm): 209,210,245 | Delta(cm): 0,0,43
TS(ms): 97018 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 97284 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 97550 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 97816 | PIR: 1,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 98082 | PIR: 1,1,0,0 | US(cm): 209,210,245 | Delta(cm): 0,0,43
TS(ms): 98348 | PIR: 0,1,0,0 | US(cm): 210,210,245 | Delta(cm): 0,0,43
TS(ms): 98614 | PIR: 0,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,44
TS(ms): 98880 | PIR: 0,0,0,0 | US(cm): 208,210,246 | Delta(cm): 0,0,44
TS(ms): 99146 | PIR: 0,0,0,0 | US(cm): 210,211,245 | Delta(cm): 0,0,43
TS(ms): 99412 | PIR: 0,0,0,1 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 99678 | PIR: 0,0,1,1 | US(cm): 209,210,248 | Delta(cm): 0,0,46
TS(ms): 99944 | PIR: 0,0,1,0 | US(cm): 210,211,245 | Delta(cm): 0,0,43
TS(ms): 100210 | PIR: 0,0,0,0 | US(cm): 208,211,246 | Delta(cm): 0,0,44
TS(ms): 100476 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 100742 | PIR: 0,0,0,0 | US(cm): 209,216,245 | Delta(cm): 0,0,43
TS(ms): 101008 | PIR: 1,0,0,0 | US(cm): 209,216,245 | Delta(cm): 0,0,43
TS(ms): 101274 | PIR: 1,0,0,0 | US(cm): 210,211,245 | Delta(cm): 0,0,43
TS(ms): 101540 | PIR: 0,0,0,0 | US(cm): 209,211,244 | Delta(cm): 0,0,42
TS(ms): 101804 | PIR: 0,0,0,0 | US(cm): 209,211,215 | Delta(cm): 0,0,13
TS(ms): 102071 | PIR: 0,0,0,0 | US(cm): 209,210,244 | Delta(cm): 0,0,42
TS(ms): 102337 | PIR: 0,1,0,1 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 102603 | PIR: 0,1,0,1 | US(cm): 209,211,247 | Delta(cm): 0,0,45
TS(ms): 102870 | PIR: 0,0,0,1 | US(cm): 209,210,245 | Delta(cm): 0,0,43
TS(ms): 103136 | PIR: 0,0,0,1 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 103402 | PIR: 0,0,0,0 | US(cm): 209,217,248 | Delta(cm): 0,0,46
TS(ms): 103668 | PIR: 0,0,0,0 | US(cm): 209,210,245 | Delta(cm): 0,0,43
TS(ms): 103934 | PIR: 1,0,0,0 | US(cm): 209,210,245 | Delta(cm): 0,0,43
TS(ms): 104200 | PIR: 1,0,1,0 | US(cm): 210,211,247 | Delta(cm): 0,0,45
