TS(ms): 1673927 | PIR: 0,0,1,0 | US(cm): 201,209,-1 | Delta(cm): 0,0,0
TS(ms): 1674206 | PIR: 0,0,1,0 | US(cm): 201,209,-1 | Delta(cm): 0,0,0
TS(ms): 1674486 | PIR: 0,0,1,1 | US(cm): 201,210,-1 | Delta(cm): 0,0,0
TS(ms): 1674766 | PIR: 0,0,0,1 | US(cm): 200,209,-1 | Delta(cm): 0,0,0
TS(ms): 1675046 | PIR: 0,0,0,0 | US(cm): 201,211,-1 | Delta(cm): 0,0,0
TS(ms): 1675325 | PIR: 0,0,0,0 | US(cm): 200,215,-1 | Delta(cm): 0,0,0
TS(ms): 1675604 | PIR: 1,0,0,0 | US(cm): 201,209,-1 | Delta(cm): 0,0,0
TS(ms): 1675884 | PIR: 1,0,0,0 | US(cm): 201,212,-1 | Delta(cm): 0,0,0
TS(ms): 1676163 | PIR: 0,0,0,0 | US(cm): 200,210,-1 | Delta(cm): 0,0,0
TS(ms): 1676442 | PIR: 0,0,0,0 | US(cm): 200,213,-1 | Delta(cm): 0,0,0
TS(ms): 1676721 | PIR: 0,0,0,0 | US(cm): 201,210,-1 | Delta(cm): 0,0,0
TS(ms): 1677001 | PIR: 0,0,0,0 | US(cm): 202,210,-1 | Delta(cm): 0,0,0
TS(ms): 1677280 | PIR: 0,0,1,0 | US(cm): 201,210,-1 | Delta(cm): 0,0,0
TS(ms): 1677559 | PIR: 0,0,1,1 | US(cm): 201,209,-1 | Delta(cm): 0,0,0
TS(ms): 1677824 | PIR: 0,0,1,1 | US(cm): 202,210,215 | Delta(cm): 0,0,0
TS(ms): 1678103 | PIR: 0,0,0,1 | US(cm): 201,210,-1 | Delta(cm): 0,0,0
TS(ms): 1678383 | PIR: 0,0,0,0 | US(cm): 201,210,-1 | Delta(cm): 0,0,0
TS(ms): 1678663 | PIR: 1,0,0,0 | US(cm): 202,210,-1 | Delta(cm): 0,0,0
TS(ms): 1678943 | PIR: 1,0,0,0 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 1679208 | PIR: 1,0,0,0 | US(cm): 203,209,221 | Delta(cm): 0,0,0
TS(ms): 1679488 | PIR: 0,0,0,0 | US(cm): 202,211,-1 | Delta(cm): 0,0,0
TS(ms): 1679753 | PIR: 0,0,0,0 | US(cm): 201,210,220 | Delta(cm): 0,0,0
TS(ms): 1680018 | PIR: 0,0,0,0 | US(cm): 202,217,215 | Delta(cm): 0,0,0
TS(ms): 1680282 | PIR: 0,1,1,0 | US(cm): 200,210,223 | Delta(cm): 0,0,0
TS(ms): 1680561 | PIR: 0,1,1,0 | US(cm): 201,210,-1 | Delta(cm): 0,0,0
TS(ms): 1680840 | PIR: 0,0,1,0 | US(cm): 201,210,-1 | Delta(cm): 0,0,0
TS(ms): 1681105 | PIR: 0,0,0,0 | US(cm): 201,210,215 | Delta(cm): 0,0,0
TS(ms): 1681369 | PIR: 0,0,0,1 | US(cm): 201,209,214 | Delta(cm): 0,0,0
TS(ms): 1681633 | PIR: 0,0,0,1 | US(cm): 201,210,214 | Delta(cm): 0,0,0
TS(ms): 1681898 | PIR: 0,0,0,1 | US(cm): 201,209,215 | Delta(cm): 0,0,0
TS(ms): 1682163 | PIR: 0,0,0,1 | US(cm): 202,210,214 | Delta(cm): 0,0,0
TS(ms): 1682426 | PIR: 1,0,0,1 | US(cm): 201,209,213 | Delta(cm): 0,0,0
TS(ms): 1682689 | PIR: 1,0,0,0 | US(cm): 200,209,216 | Delta(cm): 0,0,0
TS(ms): 1682954 | PIR: 1,0,0,0 | US(cm): 201,210,214 | Delta(cm): 0,0,0
TS(ms): 1683217 | PIR: 1,0,0,0 | US(cm): 201,209,215 | Delta(cm): 0,0,0
TS(ms): 1683481 | PIR: 1,0,0,0 | US(cm): 201,210,214 | Delta(cm): 0,0,0
TS(ms): 1683744 | PIR: 0,0,0,0 | US(cm): 200,209,216 | Delta(cm): 0,0,0
TS(ms): 1684009 | PIR: 0,0,1,0 | US(cm): 202,210,216 | Delta(cm): 0,0,0
TS(ms): 1684289 | PIR: 0,1,1,0 | US(cm): 201,210,-1 | Delta(cm): 0,0,0
TS(ms): 1684568 | PIR: 0,1,1,0 | US(cm): 200,210,-1 | Delta(cm): 0,0,0
TS(ms): 1684848 | PIR: 0,1,1,0 | US(cm): 201,209,-1 | Delta(cm): 0,0,0
TS(ms): 1685128 | PIR: 0,0,1,0 | US(cm): 202,211,-1 | Delta(cm): 0,0,0
TS(ms): 1685393 | PIR: 0,0,1,0 | US(cm): 202,210,215 | Delta(cm): 0,0,0
TS(ms): 1685656 | PIR: 0,0,1,1 | US(cm): 201,210,214 | Delta(cm): 0,0,0
TS(ms): 1685935 | PIR: 0,0,1,1 | US(cm): 201,210,-1 | Delta(cm): 0,0,0
TS(ms): 1686215 | PIR: 0,0,0,1 | US(cm): 202,210,-1 | Delta(cm): 0,0,0
TS(ms): 1686495 | PIR: 0,0,0,1 | US(cm): 201,210,-1 | Delta(cm): 0,0,0
TS(ms): 1686792 | PIR: 1,0,0,1 | US(cm): -1,250,-1 | Delta(cm): 0,39,0
TS(ms): 1687072 | PIR: 1,0,0,1 | US(cm): 207,209,-1 | Delta(cm): 0,0,0
TS(ms): 1687352 | PIR: 0,0,0,0 | US(cm): 201,209,-1 | Delta(cm): 0,0,0
TS(ms): 1687631 | PIR: 0,0,0,0 | US(cm): 201,213,-1 | Delta(cm): 0,0,0
TS(ms): 1687910 | PIR: 0,1,0,0 | US(cm): 201,210,-1 | Delta(cm): 0,0,0
TS(ms): 1688189 | PIR: 0,1,0,0 | US(cm): 200,210,-1 | Delta(cm): 0,0,0
TS(ms): 1688454 | PIR: 0,0,1,0 | US(cm): 201,212,215 | Delta(cm): 0,0,0
TS(ms): 1688718 | PIR: 0,0,1,0 | US(cm): 201,210,215 | Delta(cm): 0,0,0
TS(ms): 1688982 | PIR: 0,0,1,0 | US(cm): 201,209,215 | Delta(cm): 0,0,0
TS(ms): 1689262 | PIR: 0,0,0,0 | US(cm): 201,215,-1 | Delta(cm): 0,0,0
TS(ms): 1689542 | PIR: 0,0,0,0 | US(cm): 202,215,-1 | Delta(cm): 0,0,0
TS(ms): 1689811 | PIR: 1,0,0,1 | US(cm): 200,209,304 | Delta(cm): 0,0,88
TS(ms): 1690075 | PIR: 1,0,0,1 | US(cm): 200,209,218 | Delta(cm): 0,0,0
TS(ms): 1690339 | PIR: 1,0,0,1 | US(cm): 200,209,214 | Delta(cm): 0,0,0
TS(ms): 1690603 | PIR: 1,0,0,1 | US(cm): 201,209,212 | Delta(cm): 0,0,0
TS(ms): 1690912 | PIR: 1,1,0,1 | US(cm): -1,-1,-1 | Delta(cm): 0,0,0
TS(ms): 1691191 | PIR: 1,1,0,1 | US(cm): 201,215,-1 | Delta(cm): 0,0,0
TS(ms): 1691456 | PIR: 1,1,1,1 | US(cm): 202,210,214 | Delta(cm): 0,0,0
TS(ms): 1691734 | PIR: 0,0,1,1 | US(cm): 201,210,-1 | Delta(cm): 0,0,0
TS(ms): 1692013 | PIR: 0,0,1,0 | US(cm): 200,211,-1 | Delta(cm): 0,0,0
TS(ms): 1692292 | PIR: 0,0,0,0 | US(cm): 200,210,-1 | Delta(cm): 0,0,0
TS(ms): 1692557 | PIR: 0,0,0,0 | US(cm): 201,216,216 | Delta(cm): 0,0,0
TS(ms): 1692836 | PIR: 0,0,0,0 | US(cm): 199,210,-1 | Delta(cm): 0,0,0
TS(ms): 1693116 | PIR: 0,0,0,0 | US(cm): 201,211,-1 | Delta(cm): 0,0,0
TS(ms): 1693395 | PIR: 0,0,0,0 | US(cm): 201,210,-1 | Delta(cm): 0,0,0
TS(ms): 1693674 | PIR: 0,0,0,0 | US(cm): 201,209,-1 | Delta(cm): 0,0,0
