TS(ms): 2432105 | PIR: 0,0,0,1 | US(cm): 209,210,-1 | Delta(cm): 0,0,0
TS(ms): 2432385 | PIR: 0,0,0,0 | US(cm): 209,210,-1 | Delta(cm): 0,0,0
TS(ms): 2432665 | PIR: 0,0,0,0 | US(cm): 208,211,-1 | Delta(cm): 0,0,0
TS(ms): 2432945 | PIR: 0,0,0,0 | US(cm): 208,210,-1 | Delta(cm): 0,0,0
TS(ms): 2433225 | PIR: 0,0,0,0 | US(cm): 209,210,-1 | Delta(cm): 0,0,0
TS(ms): 2433490 | PIR: 0,0,0,0 | US(cm): 208,210,215 | Delta(cm): 0,0,0
TS(ms): 2433754 | PIR: 0,0,0,0 | US(cm): 208,216,215 | Delta(cm): 0,0,0
TS(ms): 2434019 | PIR: 0,1,0,0 | US(cm): 208,210,215 | Delta(cm): 0,0,0
TS(ms): 2434299 | PIR: 0,1,0,0 | US(cm): 208,216,-1 | Delta(cm): 0,0,0
TS(ms): 2434579 | PIR: 0,1,0,0 | US(cm): 208,210,-1 | Delta(cm): 0,0,0
TS(ms): 2434859 | PIR: 1,0,1,1 | US(cm): 208,210,-1 | Delta(cm): 0,0,0
TS(ms): 2435139 | PIR: 1,0,1,1 | US(cm): 208,210,-1 | Delta(cm): 0,0,0
TS(ms): 2435421 | PIR: 1,0,0,1 | US(cm): 209,242,-1 | Delta(cm): 0,31,0
TS(ms): 2435686 | PIR: 0,0,0,0 | US(cm): 208,216,217 | Delta(cm): 0,0,0
TS(ms): 2435966 | PIR: 0,0,0,0 | US(cm): 208,210,-1 | Delta(cm): 0,0,0
TS(ms): 2436231 | PIR: 0,0,0,0 | US(cm): 208,216,215 | Delta(cm): 0,0,0
TS(ms): 2436513 | PIR: 0,0,0,0 | US(cm): 208,242,-1 | Delta(cm): 0,31,0
TS(ms): 2436778 | PIR: 0,0,0,0 | US(cm): 208,210,217 | Delta(cm): 0,0,0
TS(ms): 2437043 | PIR: 0,0,0,0 | US(cm): 208,210,215 | Delta(cm): 0,0,0
TS(ms): 2437308 | PIR: 0,0,0,0 | US(cm): 208,210,217 | Delta(cm): 0,0,0
TS(ms): 2437573 | PIR: 0,0,0,0 | US(cm): 208,210,216 | Delta(cm): 0,0,0
TS(ms): 2437838 | PIR: 0,0,0,0 | US(cm): 208,210,215 | Delta(cm): 0,0,0
TS(ms): 2438102 | PIR: 0,0,1,0 | US(cm): 208,216,214 | Delta(cm): 0,0,0
TS(ms): 2438366 | PIR: 1,1,1,0 | US(cm): 209,210,214 | Delta(cm): 0,0,0
TS(ms): 2438630 | PIR: 1,1,1,1 | US(cm): 208,210,217 | Delta(cm): 0,0,0
TS(ms): 2438895 | PIR: 1,0,1,1 | US(cm): 208,210,214 | Delta(cm): 0,0,0
TS(ms): 2439159 | PIR: 0,0,0,1 | US(cm): 208,217,215 | Delta(cm): 0,0,0
TS(ms): 2439424 | PIR: 0,0,0,0 | US(cm): 208,210,215 | Delta(cm): 0,0,0
TS(ms): 2439688 | PIR: 0,0,0,0 | US(cm): 207,209,214 | Delta(cm): 0,0,0
TS(ms): 2439952 | PIR: 0,0,0,0 | US(cm): 207,216,217 | Delta(cm): 0,0,0
TS(ms): 2440217 | PIR: 0,0,0,0 | US(cm): 208,210,222 | Delta(cm): 0,0,0
TS(ms): 2440482 | PIR: 0,0,0,0 | US(cm): 207,213,215 | Delta(cm): 0,0,0
TS(ms): 2440761 | PIR: 0,0,0,0 | US(cm): 208,211,-1 | Delta(cm): 0,0,0
TS(ms): 2441041 | PIR: 0,0,0,0 | US(cm): 208,210,-1 | Delta(cm): 0,0,0
