TS(ms): 38615 | PIR: 1,1,0,0 | US(cm): -1,243,248 | Delta(cm): 0,32,45
TS(ms): 38875 | PIR: 1,0,0,0 | US(cm): 140,211,205 | Delta(cm): 69,0,0
TS(ms): 39139 | PIR: 1,0,0,0 | US(cm): 209,212,212 | Delta(cm): 0,0,0
TS(ms): 39405 | PIR: 1,0,0,1 | US(cm): 210,211,247 | Delta(cm): 0,0,44
TS(ms): 39671 | PIR: 1,0,1,1 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 39937 | PIR: 0,0,1,1 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 40203 | PIR: 0,0,0,1 | US(cm): 211,211,245 | Delta(cm): 0,0,42
TS(ms): 40467 | PIR: 0,0,0,0 | US(cm): 209,211,214 | Delta(cm): 0,0,11
TS(ms): 40731 | PIR: 0,0,0,0 | US(cm): 209,212,215 | Delta(cm): 0,0,12
TS(ms): 40998 | PIR: 0,0,0,0 | US(cm): 209,212,245 | Delta(cm): 0,0,42
TS(ms): 41264 | PIR: 0,0,0,0 | US(cm): 210,210,248 | Delta(cm): 0,0,45
TS(ms): 41531 | PIR: 0,1,0,0 | US(cm): 210,211,245 | Delta(cm): 0,0,42
TS(ms): 41797 | PIR: 0,1,0,0 | US(cm): 210,210,245 | Delta(cm): 0,0,42
TS(ms): 42063 | PIR: 0,1,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 42329 | PIR: 1,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 42593 | PIR: 1,0,0,0 | US(cm): 211,211,213 | Delta(cm): 0,0,0
TS(ms): 42889 | PIR: 1,0,0,1 | US(cm): -1,243,-1 | Delta(cm): 0,32,0
TS(ms): 43154 | PIR: 1,0,1,1 | US(cm): 134,243,248 | Delta(cm): 75,32,45
TS(ms): 43416 | PIR: 1,0,1,1 | US(cm): 140,212,246 | Delta(cm): 69,0,43
TS(ms): 43683 | PIR: 1,0,1,1 | US(cm): 209,214,246 | Delta(cm): 0,0,43
TS(ms): 43947 | PIR: 1,0,1,0 | US(cm): 209,211,213 | Delta(cm): 0,0,0
TS(ms): 44213 | PIR: 1,0,1,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 44477 | PIR: 1,0,1,0 | US(cm): 211,211,213 | Delta(cm): 0,0,0
TS(ms): 44743 | PIR: 0,0,1,0 | US(cm): 209,210,246 | Delta(cm): 0,0,43
TS(ms): 45009 | PIR: 0,0,1,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 45276 | PIR: 0,1,1,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
